Provider Number,Facility Name,Profit or Non-Profit,Chain Organization,# of Dialysis Stations,Patient Transfusion category text,Number of patients included in the transfusion summary,Number of patients in hypercalcemia summary,Number of patient-months in hypercalcemia summary,Number of patients in Serum phosphorus summary,Number of patient-months in Serum phosphorus summary ,Patient hospitalization category text,Patient Hospital Readmission Category,Patient Survival Category Text,Number of patients included in hospitalization summary,Number of hospitalizations included in hospital readmission summary,Number of Patients included in survival summary,Patient Infection category text,Fistula Category Text,Number of Patients included in fistula summary,Number of patients in long term catheter summary,Number of patient months in long term catheter summary,Number of patients in nPCR summary,Number of patient-months in nPCR summary,SWR category text,PPPW category text
12589,DAVITA BIRMINGHAM NORTH DIALYSIS,Profit,DAVITA,24,As Expected,61,96,940,96,977,As Expected,As Expected,As Expected,65,58,290,As Expected,Worse than Expected,97,97,982,0,,Worse than Expected,As Expected
12590,DCI MOULTON,Non-Profit,"DIALYSIS CLINIC, INC.",12,As Expected,28,34,316,38,346,As Expected,As Expected,As Expected,32,31,148,As Expected,As Expected,35,35,330,0,,Not Available,As Expected
12591,"NNA OF ALABAMA, INC",Profit,FRESENIUS MEDICAL CARE,24,As Expected,48,65,572,66,570,As Expected,As Expected,As Expected,55,61,212,As Expected,As Expected,66,66,588,0,,Not Available,As Expected
12592,DAVITA BIRMINGHAM CENTRAL DIALYSIS,Profit,DAVITA,32,As Expected,58,85,791,87,815,As Expected,As Expected,As Expected,62,59,259,As Expected,As Expected,87,87,813,0,,As Expected,As Expected
12593,FMC ODYSSEY DIALYSIS,Profit,FRESENIUS MEDICAL CARE,15,As Expected,51,62,529,67,537,As Expected,As Expected,As Expected,56,48,213,Better than Expected,As Expected,67,67,546,0,,As Expected,As Expected
12508,DAVITA BIRMINGHAM EAST DIALYSIS,Profit,DAVITA,20,As Expected,44,63,533,70,543,As Expected,As Expected,Worse than Expected,52,61,271,As Expected,As Expected,70,70,545,0,,As Expected,As Expected
12509,FMC NORTH ALABAMA,Profit,FRESENIUS MEDICAL CARE,22,As Expected,53,77,723,78,718,As Expected,As Expected,As Expected,59,60,257,As Expected,As Expected,79,79,741,0,,As Expected,As Expected
12512,FMC SELMA,Profit,FRESENIUS MEDICAL CARE,26,As Expected,71,85,842,91,863,As Expected,As Expected,As Expected,74,69,290,As Expected,As Expected,83,83,799,0,,As Expected,As Expected
12513,FMC LANGDALE,Profit,FRESENIUS MEDICAL CARE,19,As Expected,61,78,779,83,791,As Expected,As Expected,As Expected,66,52,249,As Expected,Better than Expected,83,83,804,0,,As Expected,As Expected
12515,FMC OPELIKA,Profit,FRESENIUS MEDICAL CARE,31,As Expected,110,148,1375,155,1424,As Expected,As Expected,As Expected,116,79,466,As Expected,Better than Expected,128,128,1188,0,,As Expected,As Expected
12558,DCI DECATUR,Non-Profit,"DIALYSIS CLINIC, INC.",24,As Expected,47,70,694,71,695,As Expected,As Expected,As Expected,60,68,471,As Expected,As Expected,70,70,685,0,,As Expected,As Expected
12559,FMC UNIVERSITY SOUTH ALABAMA,Profit,FRESENIUS MEDICAL CARE,22,As Expected,63,105,957,112,976,As Expected,As Expected,As Expected,75,89,313,As Expected,As Expected,92,92,830,0,,As Expected,As Expected
12561,FKC ARAB,Profit,FRESENIUS MEDICAL CARE,24,As Expected,39,59,501,70,547,As Expected,As Expected,As Expected,42,35,225,Better than Expected,As Expected,70,70,548,0,,Not Available,As Expected
12562,DCI PELL CITY,Non-Profit,"DIALYSIS CLINIC, INC.",15,As Expected,21,31,305,34,327,As Expected,As Expected,As Expected,22,15,105,As Expected,As Expected,35,35,328,0,,Not Available,As Expected
12563,DCI CULLMAN,Non-Profit,"DIALYSIS CLINIC, INC.",16,As Expected,65,72,547,85,603,As Expected,As Expected,As Expected,76,83,317,As Expected,As Expected,83,83,601,0,,Not Available,As Expected
12565,DAVITA SOUTH BALDWIN DIALYSIS CENTER,Profit,DAVITA,13,As Expected,21,28,264,30,268,As Expected,As Expected,As Expected,23,45,84,As Expected,As Expected,31,31,285,0,,Not Available,As Expected
12574,FMC CHAMBERS,Profit,FRESENIUS MEDICAL CARE,10,As Expected,27,38,368,42,389,As Expected,As Expected,Better than Expected,32,25,129,As Expected,Better than Expected,42,42,392,0,,Not Available,As Expected
12575,RCG WALKER,Profit,FRESENIUS MEDICAL CARE,22,Worse than Expected,41,58,515,65,535,As Expected,As Expected,Worse than Expected,46,58,216,As Expected,As Expected,65,65,540,0,,As Expected,As Expected
12576,DCI MONTGOMERY,Non-Profit,"DIALYSIS CLINIC, INC.",24,As Expected,51,80,735,82,736,As Expected,As Expected,As Expected,61,60,307,As Expected,As Expected,74,74,670,0,,Not Available,As Expected
12578,RCG SOUTHSIDE,Profit,FRESENIUS MEDICAL CARE,16,As Expected,48,59,542,59,524,As Expected,As Expected,As Expected,53,58,202,As Expected,As Expected,62,62,552,0,,Not Available,As Expected
12633,FMC PRATTVILLE,Profit,FRESENIUS MEDICAL CARE,18,Worse than Expected,50,83,734,95,788,As Expected,As Expected,As Expected,65,65,242,Better than Expected,As Expected,95,95,795,0,,As Expected,As Expected
12634,FMC FOLEY,Profit,FRESENIUS MEDICAL CARE,16,As Expected,49,68,584,74,621,As Expected,As Expected,As Expected,55,70,201,As Expected,As Expected,73,73,621,0,,Not Available,As Expected
12636,FMC JAGUAR,Profit,FRESENIUS MEDICAL CARE,26,As Expected,78,114,1124,122,1147,As Expected,As Expected,As Expected,87,118,371,As Expected,Worse than Expected,122,122,1161,0,,Worse than Expected,As Expected
12637,DCI HIGHLAND PARK,Non-Profit,"DIALYSIS CLINIC, INC.",15,As Expected,58,79,725,79,726,As Expected,As Expected,As Expected,61,86,277,Better than Expected,As Expected,81,81,744,0,,As Expected,As Expected
12638,FMC HOOVER,Profit,FRESENIUS MEDICAL CARE,12,As Expected,47,65,593,66,605,As Expected,As Expected,As Expected,55,60,173,Better than Expected,As Expected,66,66,602,0,,Not Available,As Expected
12639,FMC MONTEVALLO,Profit,FRESENIUS MEDICAL CARE,10,As Expected,25,41,367,46,393,As Expected,As Expected,As Expected,26,25,109,As Expected,As Expected,46,46,395,0,,Not Available,As Expected
12640,DAVITA PICKENS COUNTY DIALYSIS,Profit,DAVITA,14,As Expected,59,71,669,74,708,As Expected,As Expected,As Expected,61,60,207,As Expected,Worse than Expected,74,74,693,0,,Worse than Expected,As Expected
12597,FMC BAY MINETTE,Profit,FRESENIUS MEDICAL CARE,18,As Expected,39,54,494,56,510,As Expected,As Expected,As Expected,44,42,189,As Expected,As Expected,57,57,514,0,,Not Available,As Expected
12598,DCI PHENIX CITY,Profit,"DIALYSIS CLINIC, INC.",12,As Expected,36,50,522,52,532,As Expected,As Expected,As Expected,44,45,186,As Expected,As Expected,54,54,530,0,,Not Available,As Expected
12599,FMC PORT CITY,Profit,FRESENIUS MEDICAL CARE,20,As Expected,57,90,779,100,814,As Expected,Worse than Expected,Worse than Expected,68,112,297,Better than Expected,As Expected,101,101,827,0,,As Expected,As Expected
12600,DAVITA ATMORE DIALYSIS CENTER,Profit,DAVITA,10,As Expected,34,48,444,52,474,As Expected,As Expected,Worse than Expected,40,37,171,As Expected,As Expected,53,53,469,0,,Not Available,As Expected
12601,FMC WEST,Profit,FRESENIUS MEDICAL CARE,24,As Expected,61,93,898,97,908,As Expected,As Expected,As Expected,66,89,285,Better than Expected,Worse than Expected,97,97,919,0,,As Expected,As Expected
12602,DAVITA RUSSELLVILLE DIALYSIS,Profit,DAVITA,10,As Expected,45,53,455,57,501,As Expected,As Expected,Worse than Expected,48,45,159,As Expected,As Expected,58,58,505,0,,Not Available,As Expected
12603,FMC FAIRFIELD (STEEL CITY),Profit,RENAL CARE GROUP INC.,12,As Expected,36,55,521,54,522,As Expected,As Expected,As Expected,42,43,160,As Expected,Worse than Expected,57,57,533,0,,Not Available,As Expected
12604,RCG CLANTON,Profit,FRESENIUS MEDICAL CARE,12,As Expected,40,60,552,62,571,As Expected,As Expected,As Expected,45,65,185,As Expected,As Expected,62,62,565,0,,Not Available,As Expected
12544,DAVITA OZARK DIALYSIS,Profit,DAVITA,19,As Expected,43,57,448,61,466,As Expected,As Expected,As Expected,49,36,214,As Expected,As Expected,63,63,472,0,,Not Available,As Expected
12545,DAVITA TUSCALOOSA DIALYSIS,Profit,DAVITA,19,As Expected,78,95,934,98,948,As Expected,As Expected,As Expected,83,109,362,As Expected,Worse than Expected,101,101,949,0,,Worse than Expected,As Expected
12546,FMC TUSKEGEE,Profit,FRESENIUS MEDICAL CARE,28,Worse than Expected,38,67,645,70,645,As Expected,As Expected,As Expected,45,22,232,As Expected,As Expected,69,69,643,0,,Not Available,As Expected
12547,FMC EASTERN SHORE,Profit,FRESENIUS MEDICAL CARE,24,As Expected,51,91,790,96,830,As Expected,As Expected,As Expected,61,78,273,As Expected,As Expected,95,95,828,0,,As Expected,As Expected
12548,DAVITA FAYETTE DIALYSIS,Profit,DAVITA,10,As Expected,30,36,343,38,346,As Expected,As Expected,As Expected,36,38,151,As Expected,As Expected,38,38,351,0,,Not Available,As Expected
12550,DAVITA GREENE COUNTY DIALYSIS,Profit,DAVITA,12,As Expected,38,48,483,49,486,As Expected,As Expected,As Expected,41,53,200,As Expected,As Expected,49,49,485,0,,Not Available,As Expected
12551,DAVITA SHEFFIELD DIALYSIS,Profit,DAVITA,12,As Expected,50,59,549,64,565,As Expected,As Expected,As Expected,52,69,228,As Expected,As Expected,65,65,580,0,,Not Available,As Expected
12552,BIO-MEDICAL APPLICATIONS OF ALABAMA INC,Profit,FRESENIUS MEDICAL CARE,25,As Expected,79,117,1146,122,1149,As Expected,As Expected,As Expected,91,114,317,As Expected,Worse than Expected,124,124,1172,0,,As Expected,As Expected
12553,DAVITA PDI-ELMORE COUNTY,Profit,DAVITA,10,As Expected,32,48,425,52,459,As Expected,As Expected,As Expected,38,34,133,As Expected,As Expected,52,52,460,0,,Not Available,As Expected
12556,"NNA OF ALABAMA, INC",Profit,FRESENIUS MEDICAL CARE,13,As Expected,33,49,413,55,436,As Expected,As Expected,As Expected,38,32,157,As Expected,As Expected,55,55,439,0,,Not Available,As Expected
12622,DAVITA TALLADEGA DIALYSIS,Profit,DAVITA,13,As Expected,39,47,442,49,454,As Expected,As Expected,As Expected,42,38,158,As Expected,As Expected,44,44,399,0,,Not Available,As Expected
12623,DAVITA CENTER POINT DIALYSIS,Profit,DAVITA,16,As Expected,43,60,530,65,547,As Expected,As Expected,Worse than Expected,45,59,189,As Expected,As Expected,65,65,556,0,,As Expected,As Expected
12624,FMC MIDFIELD DIALYSIS,Profit,FRESENIUS MEDICAL CARE,24,Worse than Expected,70,99,995,100,1005,As Expected,As Expected,As Expected,79,113,308,As Expected,Worse than Expected,100,100,1020,0,,As Expected,As Expected
12625,RAI JACKSONVILLE,Profit,FRESENIUS MEDICAL CARE,16,As Expected,57,67,600,71,608,As Expected,As Expected,As Expected,66,54,258,As Expected,As Expected,71,71,623,0,,As Expected,As Expected
12626,FMC NORTHWEST ALABAMA KIDNEY CENTER,Profit,FRESENIUS MEDICAL CARE,10,As Expected,27,32,279,35,290,As Expected,As Expected,As Expected,29,35,111,As Expected,As Expected,35,35,293,0,,Not Available,As Expected
12627,DAVITA HOME DIALYSIS OPTIONS OF BALDWIN COUNTY PD,Profit,DAVITA,4,Not Available,7,9,74,9,74,As Expected,Not Available,Not Available,8,6,39,Not Available,Not Available,3,3,26,0,,Not Available,Not Available
12628,DAVITA OPELIKA DIALYSIS CENTER,Profit,DAVITA,10,As Expected,23,30,274,29,266,As Expected,As Expected,As Expected,23,22,111,As Expected,As Expected,24,24,216,0,,Not Available,As Expected
12629,DAVITA RENAISSANCE DIALYSIS,Profit,DAVITA,10,As Expected,43,52,469,58,496,As Expected,As Expected,As Expected,46,58,137,As Expected,As Expected,57,57,481,0,,Not Available,As Expected
12630,DAVITA WIREGRASS KIDNEY CENTER,Profit,DAVITA,20,As Expected,55,76,667,80,675,As Expected,As Expected,As Expected,62,87,268,As Expected,As Expected,80,80,706,0,,As Expected,As Expected
12631,DAVITA GULF SHORES DIALYSIS CENTER,Profit,DAVITA,8,As Expected,22,32,260,30,257,As Expected,As Expected,As Expected,24,22,107,As Expected,As Expected,21,21,161,0,,Not Available,As Expected
12632,DAVITA MUSCLE SHOALS DIALYSIS,Profit,DAVITA,10,Not Available,17,23,172,24,200,As Expected,As Expected,As Expected,19,24,63,As Expected,As Expected,24,24,202,0,,Not Available,As Expected
12659,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",Profit,FRESENIUS MEDICAL CARE,13,As Expected,36,56,552,61,559,As Expected,As Expected,As Expected,42,55,194,As Expected,As Expected,61,61,567,0,,Not Available,As Expected
12660,"FRESENIUS KIDNEY CARE ATTALLA, LLC",Profit,FRESENIUS MEDICAL CARE,10,As Expected,34,41,406,49,435,As Expected,As Expected,As Expected,38,43,176,As Expected,As Expected,48,48,430,0,,As Expected,As Expected
12661,DAVITA HOKES BLUFF DIALYSIS,Profit,DAVITA,10,As Expected,23,25,203,29,222,As Expected,As Expected,As Expected,24,34,100,As Expected,As Expected,30,30,223,0,,Not Available,As Expected
12662,FRESENIUS MEDICAL CARE,Profit,FRESENIUS MEDICAL CARE,8,As Expected,34,53,370,53,402,As Expected,As Expected,As Expected,39,28,108,Not Available,Not Available,10,10,50,0,,Not Available,As Expected
12663,DAVITA PERRY COUNTY DIALYSIS,Profit,DAVITA,10,As Expected,27,37,330,38,344,As Expected,As Expected,As Expected,32,31,136,As Expected,As Expected,38,38,342,0,,Not Available,As Expected
12664,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",Profit,FRESENIUS MEDICAL CARE,27,As Expected,51,79,711,83,736,As Expected,As Expected,As Expected,60,50,233,As Expected,As Expected,81,81,745,1,2,As Expected,As Expected
12677,"DIALYSIS CLINIC, INC",Non-Profit,"DIALYSIS CLINIC, INC.",10,As Expected,16,25,209,26,228,As Expected,Not Available,As Expected,18,8,76,As Expected,As Expected,25,25,227,0,,Not Available,As Expected
12678,"FRESENIUS MEDICAL CARE MCCALLA, LLC",Non-Profit,FRESENIUS MEDICAL CARE,13,As Expected,36,55,474,58,482,As Expected,As Expected,As Expected,43,49,141,As Expected,As Expected,58,58,496,0,,As Expected,As Expected
12679,DAVITA WHITE BLUFF DIALYSIS,Profit,DAVITA,10,As Expected,36,48,471,52,483,As Expected,As Expected,As Expected,42,22,144,As Expected,As Expected,52,52,495,0,,As Expected,As Expected
12680,BIO-MEDICAL APPLICATIONS OF ALABAMA,Profit,FRESENIUS MEDICAL CARE,10,As Expected,38,54,498,56,527,As Expected,As Expected,As Expected,41,53,151,As Expected,As Expected,55,55,521,0,,Not Available,As Expected
12681,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",Profit,FRESENIUS MEDICAL CARE,21,As Expected,48,76,684,80,690,As Expected,As Expected,As Expected,64,78,221,As Expected,As Expected,79,79,685,0,,As Expected,As Expected
12682,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC.",Profit,FRESENIUS MEDICAL CARE,10,As Expected,19,35,250,38,270,As Expected,As Expected,As Expected,24,21,84,As Expected,Worse than Expected,39,39,269,0,,Not Available,As Expected
12684,"FRESENIUS MEDICAL CARE ALBERTVILLE, LLC",Profit,FRESENIUS MEDICAL CARE,20,As Expected,34,53,472,60,508,As Expected,As Expected,As Expected,39,42,133,As Expected,As Expected,44,44,375,0,,As Expected,As Expected
12685,DAVITA MODEL CITY HT AT HOME DIALYSIS,Profit,DAVITA,3,Not Available,5,10,92,11,96,Not Available,Not Available,As Expected,7,2,30,Not Available,Not Available,0,0,,0,,Not Available,Not Available
12686,"FRESENIUS MEDICAL CARE ANNISTON HOME, LLC",Profit,FRESENIUS MEDICAL CARE,4,As Expected,56,60,484,66,517,As Expected,As Expected,As Expected,57,33,137,Not Available,As Expected,11,11,98,0,,Not Available,As Expected
12687,"BIO-MEDICAL APPLICATIONS OF ALABAMA, INC",Profit,FRESENIUS MEDICAL CARE,10,Not Available,18,29,283,31,292,As Expected,As Expected,As Expected,21,20,87,As Expected,As Expected,31,31,291,0,,Not Available,As Expected
12688,"FRESENIUS MEDICAL CARE TRUSSVILLE, LLC",Profit,FRESENIUS MEDICAL CARE,20,As Expected,20,38,334,42,348,As Expected,As Expected,As Expected,23,20,70,As Expected,As Expected,43,43,361,0,,Not Available,As Expected
12692,BIO MEDICAL APPLICATIONS OF ALABAMA INC,Profit,FRESENIUS MEDICAL CARE,20,As Expected,33,47,382,48,405,As Expected,As Expected,As Expected,39,56,113,As Expected,As Expected,49,49,400,0,,Not Available,As Expected
12666,DAVITA ANNISTON DIALYSIS,Profit,DAVITA,10,Not Available,14,22,169,23,171,As Expected,As Expected,As Expected,17,33,70,As Expected,As Expected,24,24,186,0,,Not Available,Worse than Expected
12667,"BIO MEDICAL APPLICATIONS OF ALABAMA, INC.",Profit,FRESENIUS MEDICAL CARE,5,Not Available,13,32,250,32,254,As Expected,Not Available,As Expected,15,4,72,Not Available,As Expected,12,12,94,0,,Not Available,As Expected
